Theta0_Value,CostFunction
-1.3884879835380302,5.179741085199986
-1.3966474744836452,5.176390943153092
-1.4047760502433142,5.173066139465731
-1.4128738279504134,5.169766482494552
-1.4209409242945168,5.1664917820456635
-1.4289774555230776,5.163241849363692
-1.4369835374431035,5.160016497120877
-1.4449592854228253,5.156815539406294
-1.4529048143933596,5.153638791715143
-1.4608202388503648,5.1504860709380775
-1.468705672855691,5.1473571953506925
-1.4765612300390238,5.144251984603025
-1.4843870235995216,5.141170259709168
-1.4921831663074465,5.138111843036947
-1.49994977050579,5.135076558297692
-1.5076869481118915,5.132064230536064
-1.5153948106190507,5.129074686119972
-1.5230734690981347,5.1261077527305785
-1.5307230341991787,5.123163259352352
-1.5383436161529795,5.120241036263211
-1.5459353247726855,5.117340915024749
-1.5534982694553774,5.114462728472518
-1.561032559183646,5.111606310706404
-1.568538302527162,5.108771497081044
-1.5760156076442404,5.105958124196362
-1.5834645822833993,5.1031660298881265
-1.5908853337849125,5.100395053218621
-1.5982779690823565,5.097645034467359
-1.6056425947041513,5.094915815121871
-1.612979316775095,5.092207237868591
-1.6202882410178936,5.089519146583753
-1.6275694727546846,5.086851386324435
-1.634823116908554,5.084203803319591
-1.6420492780050495,5.081576244961205
-1.6492480601736852,5.078968559795492
-1.6564195671494428,5.07638059751417
-1.6635639022742668,5.073812208945792
-1.6706811684985534,5.071263246047147
-1.6777714683826335,5.06873356189474
-1.6848349040982515,5.0662230106763015
-1.6918715774300368,5.06373144768239
-1.6988815897769711,5.06125872929807
-1.7058650421538493,5.058804712994611
-1.7128220351927352,5.056369257321278
-1.7197526691444114,5.053952221897179
-1.7266570438798243,5.051553467403181
-1.7335352588915232,5.049172855573869
-1.7403874132950934,5.046810249189578
-1.7472136058305852,5.044465512068493
-1.7540139348639365,5.0421385090587805
-1.7607884983883901,5.03982910603083
-1.767537394025906,5.037537169869477
-1.7742607190285682,5.035262568466374
-1.7809585702799857,5.033005170712355
-1.787631044296689,5.030764846489873
-1.7942782372295205,5.028541466665525
-1.8009002448650209,5.026334903082569
-1.8074971626268084,5.024145028553573
-1.8140690855769543,5.021971716853073
-1.8206161084173533,5.0198148427102876
-1.8271383254910871,5.0176742818019076
-1.8336358307837848,5.015549910744927
-1.8401087179249769,5.013441607089527
-1.8465570801894444,5.011349249312028
-1.8529810104985631,5.009272716807874
-1.8593806014216423,5.007211889884692
-1.8657559451772594,5.005166649755378
-1.8721071336345878,5.003136878531268
-1.8784342583147218,5.001122459215319
-1.8847374103919945,4.999123275695404
-1.8910166806952922,4.9971392127375625
-1.897272159709363,4.995170155979419
-1.9035039375761207,4.993215991923554
-1.9097121040959442,4.991276607930959
-1.9158967487289706,4.989351892214574
-1.9220579605963855,4.987441733832823
-1.928195828481706,4.985546022683202
-1.934310440832061,4.983664649495976
-1.9404018857594656,4.98179750582785
-1.9464702510420901,4.979944484055722
-1.952515624125526,4.978105477370483
-1.958538092124045,4.976280379770872
-1.9645377418218553,4.974469086057337
-1.9705146596743512,4.972671491826
-1.9764689318093602,4.970887493462628
-1.9824006440283826,4.96911698813666
-1.9883098818078289,4.967359873795277
-1.9941967303002512,4.965616049157523
-2.000061274335571,4.963885413708477
-2.0059035984222993,4.96216786769343
-2.0117237867487576,4.960463312112179
-2.017521923184289,4.958771648713272
-2.023298091280467,4.957092779988388
-2.0290523742722995,4.955426609166685
-2.034784855079429,4.9537730402092475
-2.0404956163073273,4.95213197780352
-2.046184740248484,4.950503327357847
-2.0518523088835954,4.948886994995995
-2.0574984038827426,4.947282887551753
-2.0631231066065716,4.945690912563569
-2.068726498107463,4.944110978269192
-2.074308659130702,4.942542993600427
-2.07986967011564,4.940986868177848
-2.0854096111968556,4.939442512305593
-2.090928562205309,4.937909836966229
-2.0964266026694904,4.9363887538155655
-2.1019038118165687,4.934879175177612
-2.1073602685735318,4.933381014039496
-2.1127960515683237,4.931894184046454
-2.118211239130978,4.930418599496864
-2.1236059092947475,4.928954175337281
